h;Pfree1;Pfree2;Pfree3;Pfree4
580;121.453;203.2561;176.0251;231.9026
581;106.4956;203.0341;168.3595;229.7291
582;61.8445;198.1544;153.9127;227.2078
583;57.8623;208.1492;160.7414;227.9268
584;82.6771;190.9447;182.3806;216.3912
585;89.0938;183.223;179.1287;196.3345
586;135.5806;182.1929;174.8236;189.6253
587;142.8121;170.6017;159.1471;182.9597
588;95.9315;112.3652;123.141;142.1773
589;38.5897;45.7;72.8179;83.9991
590;0;0;22.6422;27.9093
591;0;0;0;0
592;0;0;0;0
593;0;0;5.1406;1.6666
594;0;12.5242;43.586;69.4636
595;0;17.994;62.4689;81.8714
596;0;42.0196;74.9674;93.5958
597;70.6376;109.8246;127.3986;153.3409
598;113.4476;139.9085;159.2221;206.227
599;162.2663;155.5054;185.3837;231.5111
600;188.4402;165.2937;187.692;231.6647
601;185.8604;137.0798;184.6453;227.5672
602;186.9311;150.8864;175.8339;228.6983
603;179.1486;183.2272;170.7918;229.5611
604;183.3759;173.7663;170.5613;213.502
605;165.2917;131.3797;162.7437;184.9805
606;140.9279;120.619;164.4346;190.9467
607;124.325;120.293;170.9599;193.0327
608;94.0907;98.9319;185.0736;192.2726
609;90.9854;107.4404;170.7184;192.0727
610;108.8282;102.564;157.6747;169.9534
611;105.6419;93.8293;136.2582;145.0598
612;68.7662;53.0787;98.7721;58.3163
613;40.4138;0;46.8688;0
614;0;0;0;0
615;0;0;0;0
616;0;0;0;0
617;0;0;11.6184;0
618;0;0;51.3939;0
619;0;0;59.5963;47.5754
620;0;56.0206;40.1816;102.9464
621;45.6414;120.5388;117.442;180.8606
622;113.9994;145.0948;170.6765;203.2798
623;179.977;176.9155;192.1666;226.0526
624;186.5566;174.5061;193.6629;225.0033
625;183.5982;173.8738;191.2654;224.3542
626;172.4304;146.179;184.8687;217.6106
627;145.0154;114.124;176.8842;208.6693
628;169.7519;126.4675;173.5419;195.443
629;168.0535;120.5998;152.8544;174.9885
630;161.2594;108.6723;142.4803;158.5561
631;173.493;116.5445;148.12;164.181
632;175.6274;96.9247;144.1813;167.4354
633;148.0181;61.4349;131.6344;145.0885
634;173.9666;69.8993;119.0467;143.9725
635;160.9556;66.9378;106.0247;150.1621
636;102.7796;26.9439;71.3168;132.1126
637;38.5949;0;16.9524;78.3324
638;10.1812;0;0;10.4138
639;0;0;0;0
640;0;0;0;0
641;0;0;0;0
642;0;0;7.542;36.6123
643;0;0;15.5791;39.5565
644;3.9607;32.9827;33.1174;75.4828
645;81.6709;132.6163;73.6734;168.7309
646;126.0688;184.8075;101.7754;220.6581
647;166.6807;232.6942;124.6149;235.6249
648;162.0895;240.3112;136.9001;236.9334
649;193.0309;241.232;154.4474;237.0371
650;192.3991;241.6883;153.2635;235.4115
651;191.7099;241.3394;148.7398;233.8201
652;184.2868;239.8782;147.1837;233.6399
653;179.6464;219.2024;124.0005;230.9716
654;175.7683;217.2807;96.1078;230.4652
655;180.2301;217.036;85.435;230.2215
656;175.8139;223.029;62.1361;228.846
657;150.535;205.8769;44.6017;220.7978
658;160.6613;211.1928;54.1567;223.399
659;156.3949;210.5953;44.0296;216.3588
660;121.9063;187.2916;0;188.1412
