h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
144,2,0,1076.1731,1018.284469,996.1262384,22.1582305,19962.36982,25000,15197.07315
144,3,79.206,79.206,808.7784607,868.6616045,19.3228562,17407.97855,25000,74774.62267
145,1,470.1010835,533.319,1196.661743,1630.493477,36.26934911,32675.08929,25000,36771.2154
145,2,0,1154.2756,1066.888216,1043.672351,23.21586524,20915.19391,25000,11112.26706
145,3,86.68460539,216.0235,739.1845983,807.8979974,17.97120621,16190.27587,25000,65964.89854
146,1,413.0662842,413.7678,1131.14372,1510.607447,33.6025563,30272.57325,25000,42043.78865
146,2,0,1120.6926,1025.336146,1003.024469,22.31167749,20100.61035,25000,6212.877413
146,3,0,0,725.3071174,709.5241778,15.78293962,14218.86452,25000,55183.76306
147,1,495.0355884,597.8852,1171.727238,1630.493477,36.26934911,32675.08929,25000,49718.87794
147,2,0,1152.9595,958.3348731,937.481167,20.85370607,18787.12259,25000,0
147,3,0,0,622.8921455,609.3377919,13.55435358,12211.12935,25000,42394.89241
148,1,384.1051024,765.3031,1282.657724,1630.493477,36.26934911,32675.08929,25000,57393.96723
148,2,205.9840684,1195.9469,1069.270922,1247.50499,27.75,25000,25000,0
148,3,0,0,810.5952942,792.9564537,17.63884054,15890.84733,25000,33285.73974
149,1,0,0,729.0914377,713.2261499,15.86528777,14293.05204,25000,46687.01927
149,2,412.3707783,1376.8552,1254.392048,1630.493477,36.26934911,32675.08929,25000,7675.089288
149,3,67.34596275,67.507,976.6708595,1021.298647,22.71817562,20466.82488,25000,28752.56462
150,1,0,0,459.4229309,449.4257253,9.997205605,9006.491536,25000,30693.51081
150,2,391.9479503,1120.0557,1274.814876,1630.493477,36.26934911,32675.08929,25000,15350.17858
150,3,0,0,750.4468703,734.1168808,16.32998954,14711.70229,25000,18464.26691
151,1,0,0,586.7432042,573.9754644,12.76773982,11502.46831,25000,17195.97911
151,2,5.494949752,682.037,1172.062831,1151.933706,25.62407414,23084.75148,25000,13434.93005
151,3,0,0,758.5455832,742.0393628,16.5062204,14870.46883,11155.80582,22178.92993
152,1,519.621912,915.4961,961.3481578,1448.743637,32.22643296,29032.82248,25000,21228.80159
152,2,236.2213291,236.793,1190.218373,1395.399869,31.03983284,27963.81337,25000,16398.74342
